period,i_luu_chuyen_tien_tu_hoat_dong_kinh_doanh,profit_before_tax,2_dieu_chinh_cho_cac_khoan,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,lai_lo_tu_hoat_dong_dau_tu_tai_chinh,chi_phi_di_vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,tang_giam_cac_khoan_phai_tra_khong_ke_lai_vay_phai_tra_thue_thu_nhap_doanh_nghiep_phai_nop,tang_giam_chi_phi_cho_phan_bo,chi_phi_di_vay_da_tra,corporate_income_tax_paid,other_receipts_from_operating_activities,other_payments_for_operating_activities,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh,ii_luu_chuyen_tien_tu_hoat_dong_dau_tu,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,purchases_of_minority_shares_of_subsidiaries,other_receipts_from_investing_activities,other_payments_for_investing_activities,luu_chuyen_tien_thuan_tu_hoat_dong_dau_tu,iii_luu_chuyen_tien_tu_hoat_dong_tai_chinh,receipts_from_equity_issue_and_owners_capital_contribution,proceeds_from_borrowings,principal_repayments,repayment_of_financial_leases,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2015-Q1,,645332005031,,162352394928,783301087,25559851170,,,,,,801152394930,38880793943,-252856624904,,,,-153423816216,,-13954289773,-140981430408,,-880511515042,464798822,,550234177285,,,71323677005,,,,,-258488861930,,6201800000,5739103377901,-5686977081786,,-86422575,,,58241673540,-341228618798,4336282447769,,3995053828971,-66476746992,40841485197,-7239895491,-803433595342,296212546960,-53558840006,
2014-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,581570638467,,125129723218,5696461658,1848049687,,,,,,657834521465,281123471776,-151107971432,,,,-156248625507,,-19884497884,-299814695303,,-209962055425,26591382,,581630154928,,,24761194582,,,,,396455885467,,6007090000,4206686343073,-3937244879795,,-11888350,,,275436664928,372077855092,2750971144015,,3123048999107,-83777992303,35506573224,-8138932486,-834275974220,-17040620229,-60214999272,
2013-Q4,,2515629992212,,444101942422,71929294278,-15254059492,,,,,,2746102758465,-681246714087,-697497288522,,,,-440791857488,25083274596,25083274596,1595475505011,,-1054381016313,631171620,-1014227472629,,,,119391200174,,,,,-1948586117148,,13529220000,13584459109952,-12244070039716,,-750313927548,,,603574942688,250464330551,2318915022090,,2569379352641,-402795583777,132491172822,,792069217787,-64328286889,-108998873447,-29420000
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,574384079642,,107156330415,-87925448,-11229251451,,,,,,649802158031,441924007870,-305723782499,,,,-134876535662,,-42983214953,38033963310,,-270263686503,2320280807,-150038784295,,,,9009216200,,,,,-408972973791,,,2765492900617,-2785142169522,,,,,-19771648905,-390710659386,2318915022090,,1928204362704,-56394624776,35581809119,391740530,-518341345105,-30406645082,-21360679290,-122380000
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,0,577918953719,0,103647775929,9876482940,-12930781767,,,0,0,0,634946405063,222280572271,-89156102467,,,,-146311899963,0,-77839742023,192556832422,0,-77839380965,7015817993,-18022326520,17852800000,0,0,47599276117,0,0,0,0,-23393813375,0,0,2478986858635,-3136142177053,0,-236989568000,0,0,-894393456418,-725230437371,2902382823282,0,2177152385911,-98979928886,55413903128,0,-247416097787,-61502386271,-42443916401,-248570000
