symbol,exchange,reference_price,ceiling_price,price,floor_price,accumulated_value,accumulated_volume,market_cap,price_change_percent,avg_value_30d,avg_value_10d,est_volume,pe,pb,roe,revenue_growth_yoy,match_price_time,ema_time,ema_20_ema_50,last_modified_date,company_name_en,short_name_en,company_name,short_name,icb_code2,industry_en,vi_sector,icb_code4,stock_strength,source_universe,source_strategy,rs_3m,stock_trend,adx,volume_breakout_30d,prev_rsi,rsi,sector_hint,sector_raw,sector
SSB,HOSE,15800.0,16900.0,16000.0,14700.0,32510815000.0,2057800.0,54860800000000.0,1.26582278,36804335513.333336,-9.96557317,1912430.29824441,,,,,2026-07-16T08:19:23.34,1784073600,,2026-07-16T08:22:56.646,Southeast Asia Commercial Joint Stock Bank,SeABank,Ngân hàng Thương mại Cổ phần Đông Nam Á,SeABank,8300,Banks,Ngân hàng,8355,83.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
TCB,HOSE,31500.0,33700.0,31900.0,29300.0,458374495000.0,14633400.0,226051069206600.0,1.26984127,384816213046.6667,10.42231074,13598822.88629784,,,,,2026-07-16T08:19:24.24,1784073600,,2026-07-16T08:22:56.742,Vietnam Technological And Commercial Joint Stock Bank,Techcombank,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Techcombank,8300,Banks,Ngân hàng,8355,49.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
VCB,HOSE,59200.0,63300.0,59400.0,55100.0,197144610000.0,3349700.0,496327100583600.0,0.33783784,232862214270.0,2.49870088,3112310.07469512,,,,,2026-07-16T08:19:27.74,1784073600,,2026-07-16T08:22:57.14,Joint Stock Commercial Bank For Foreign Trade Of Vietnam,Vietcombank,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Vietcombank,8300,Banks,Ngân hàng,8355,30.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
YEG,HOSE,8150.0,8720.0,8080.0,7580.0,7466247000.0,926600.0,1658229699840.0,-0.85889571,8146474626.0,3.99925054,860723.69619348,,,,,2026-07-16T08:19:31.44,1784073600,,2026-07-16T08:22:57.55,Yeah1 Group Corporation,Yeah1 Group,Công ty Cổ phần Tập đoàn Yeah1,Tập đoàn Yeah1,5500,Media,Truyền thông,5553,16.0,screener_broad_liquid,broad_liquid,,,,,,,,5500,technology
FOX,UPCOM,67100.0,77100.0,67000.0,57100.0,6941430000.0,105400.0,49497152021000.0,-0.1490313,7777405176.666667,-15.48753154,105772.16130876,,,,,2026-07-16T07:59:03.446,1784073600,,2026-07-16T08:22:54.837,FPT Telecom,FPT Telecom,Công ty Cổ phần Viễn thông FPT,FPT Telecom,6500,Telecommunications,Viễn thông,6535,9.0,screener_broad_liquid,broad_liquid,,,,,,,,6500,technology
VGI,UPCOM,82600.0,94900.0,81700.0,70300.0,23247300000.0,286900.0,248679375040000.0,-1.08958838,26223292933.333332,13.57912826,286970.85700164,,,,,2026-07-16T07:59:56.373,1784073600,,2026-07-16T08:22:57.228,Viettel Global Investment Joint Stock Company,Viettel Global Investment,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Đầu tư Quốc tế Viettel,6500,Telecommunications,Viễn thông,6575,16.0,screener_broad_liquid,broad_liquid,,,,,,,,6500,technology
BAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,bank,nan,bank
BVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,bank,nan,bank
ITD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,technology,nan,technology
ICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,technology,nan,technology
SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,technology,nan,technology
MFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,static_fallback,,,,,,,,technology,nan,technology
